Concatenar;FipeID;VehicleModelYear;BrandName;VehicleName;Abreviação de descrição;Model id;ADAS;Opcional Parabrisa;ADAS no Parabrisa;Opcional Parachoque;Adas no Parachoque;Tipo de Regulagem;Camera no Retrovisor;Faróis Matrix;Secao;Sub-secao;Argiccode;Descrição;Marca OEM;Marca Reposição;Partnumber;Cod Fuyao
929832024;92983;2024;BMW;118i M Sport 1.5 TB 12V Aut. 5p;118i M Sport;2496;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;2496AGACMVZ;BMW SERIE 1 20/ON - PARABRISA ACUSTICO C/ AVISO DE SAIDA DE FAIXA C/SUP P/SENSOR UMID C/ENCAPS;Carlex;Analisar;51317463722;Analisar
929832023;92983;2023;BMW;118i M Sport 1.5 TB 12V Aut. 5p;118i M Sport;2496;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;2496AGACMVZ;BMW SERIE 1 20/ON - PARABRISA ACUSTICO C/ AVISO DE SAIDA DE FAIXA C/SUP P/SENSOR UMID C/ENCAPS;Carlex;Analisar;51317463722;Analisar
929832024;92983;2024;BMW;118i M Sport 1.5 TB 12V Aut. 5p;118i M Sport;2496;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;2496AGACMVZ;BMW SERIE 1 20/ON - PARABRISA ACUSTICO C/ AVISO DE SAIDA DE FAIXA C/SUP P/SENSOR UMID C/ENCAPS;Carlex;Analisar;51317463722;Analisar
929832023;92983;2023;BMW;118i M Sport 1.5 TB 12V Aut. 5p;118i M Sport;2496;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;2496AGACMVZ;BMW SERIE 1 20/ON - PARABRISA ACUSTICO C/ AVISO DE SAIDA DE FAIXA C/SUP P/SENSOR UMID C/ENCAPS;Carlex;Analisar;51317463722;Analisar
925842024;92584;2024;BMW;118i Sport 1.5 TB 12V Aut. 5p;118i Sport;2496;Sim;;Não;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;2496AGAMVZ;BMW SERIE 1 20/ON - PARABRISA ACUSTICO C/SUP P/SENSOR UMID C/ENCAPS;Carlex;Analisar;51317463721;Analisar
925842023;92584;2023;BMW;118i Sport 1.5 TB 12V Aut. 5p;118i Sport;2496;Sim;;Não;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;2496AGAMVZ;BMW SERIE 1 20/ON - PARABRISA ACUSTICO C/SUP P/SENSOR UMID C/ENCAPS;Carlex;Analisar;51317463721;Analisar
925842022;92584;2022;BMW;118i Sport 1.5 TB 12V Aut. 5p;118i Sport;2496;Sim;;Não;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;2496AGAMVZ;BMW SERIE 1 20/ON - PARABRISA ACUSTICO C/SUP P/SENSOR UMID C/ENCAPS;Carlex;Analisar;51317463721;Analisar
925842021;92584;2021;BMW;118i Sport 1.5 TB 12V Aut. 5p;118i Sport;2496;Sim;;Não;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;2496AGAMVZ;BMW SERIE 1 20/ON - PARABRISA ACUSTICO C/SUP P/SENSOR UMID C/ENCAPS;Carlex;Analisar;51317463721;Analisar
925842020;92584;2020;BMW;118i Sport 1.5 TB 12V Aut. 5p;118i Sport;2496;Sim;;Não;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;2496AGAMVZ;BMW SERIE 1 20/ON - PARABRISA ACUSTICO C/SUP P/SENSOR UMID C/ENCAPS;Carlex;Analisar;51317463721;Analisar
925842024;92584;2024;BMW;118i Sport 1.5 TB 12V Aut. 5p;118i Sport;2496;Sim;;Não;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;2496AGAMVZ;BMW SERIE 1 20/ON - PARABRISA ACUSTICO C/SUP P/SENSOR UMID C/ENCAPS;Carlex;Analisar;51317463721;Analisar
